target_x,target_y,target_z,target_radius,miss_distance,t_closest,closest_x,closest_y,closest_z,apogee,impact_time,max_gimbal_pitch_deg,max_gimbal_yaw_deg,waypoint_index,waypoint_count,final_waypoint_reached,ground_terminated,terminal_guidance
-53.299800,75.813480,14.160156,93.750000,80.170947,1.582464,-26.147115,16.762242,61.096962,303.348754,16.564000,29.955128,29.998265,0,1,1,1,1
-11.889803,-91.752792,15.136719,93.750000,80.371039,1.553288,-12.042797,-25.850690,61.140994,355.887038,18.518000,29.954407,29.998265,0,1,1,1,1
70.619070,59.517827,16.113281,93.750000,56.432770,2.017520,50.899604,48.554904,67.839624,100.178912,7.499000,30.000000,29.985598,0,1,1,1,1
-92.100456,3.808643,17.089844,93.750000,67.659466,1.887574,-49.822419,-0.491710,69.738470,184.550579,11.432000,29.996945,29.999879,0,1,1,1,1
65.207173,-64.889846,18.066406,93.750000,54.204815,2.022492,51.266751,-48.853122,67.932729,100.684668,7.583000,30.000000,29.998769,0,1,1,1,1
-4.240170,91.697594,19.042969,93.750000,69.027883,1.842211,-2.308483,48.421949,72.786208,187.396148,11.380000,30.000000,29.999034,0,1,1,1,1
-58.680986,-70.319433,20.019531,93.750000,67.300999,1.894566,-42.288690,-28.749237,70.344832,183.093420,11.329000,29.994688,29.999301,0,1,1,1,1
90.552654,12.183732,20.996094,93.750000,58.850866,1.999208,62.752008,9.304225,72.786604,126.553634,8.809000,30.000000,29.984558,0,1,1,1,1
-74.811972,52.052221,21.972656,93.750000,66.767706,1.896470,-48.756585,14.878088,70.933122,191.895240,11.833000,29.992960,29.999162,0,1,1,1,1
19.950356,-88.681335,22.949219,93.750000,67.388548,1.839633,8.213794,-46.264066,73.981020,214.331500,12.799000,30.000000,29.998974,0,1,1,1,1
45.067244,78.648350,23.925781,93.750000,48.068043,2.035412,35.727032,62.687941,68.294267,103.773308,7.941000,30.000000,29.997698,0,1,1,1,1
-86.106436,-27.470302,24.902344,93.750000,59.652904,1.985459,-53.373893,-16.275862,73.500020,186.378046,11.798000,29.997504,29.999945,0,1,1,1,1
81.798705,-37.793076,25.878906,93.750000,46.544173,2.040746,64.077700,-33.480085,68.700912,106.172099,8.151000,30.000000,29.989524,0,1,1,1,1
-34.676466,82.857643,26.855469,93.750000,70.720010,1.706307,-20.776801,28.650326,70.095333,364.570164,19.038000,29.970243,29.998666,0,1,1,1,1
-30.299401,-84.240055,27.832031,93.750000,67.350507,1.819522,-29.049914,-33.028671,71.557582,269.353279,15.555000,29.975201,29.998638,0,1,1,1,1
78.971239,41.505070,28.808594,93.750000,45.452693,2.066702,61.240694,37.096892,70.427616,110.709468,8.400000,30.000000,29.998845,0,1,1,1,1
