time,height,velocity,pitch
4.140000,32.600490,1.134001,2.000000
4.150000,32.589150,1.134001,2.000000
4.160000,32.577810,1.134000,2.000000
4.170000,32.566470,1.133999,2.000000
4.180000,32.555130,1.133998,2.000000
4.190000,32.543790,1.133998,2.000000
4.200000,32.532450,1.133997,2.000000
4.210000,32.521110,1.133996,2.000000
4.220000,32.509770,1.133995,2.000000
4.230000,32.498430,1.133995,2.000000
4.240000,32.487090,1.133994,2.000000
4.250000,32.475750,1.133993,2.000000
4.260000,32.464410,1.133992,2.000000
4.270000,32.453070,1.133992,2.000000
4.280000,32.441730,1.133991,2.000000
4.290000,32.430390,1.133990,2.000000
4.300000,32.419050,1.133989,2.000000
4.310000,32.407711,1.133989,2.000000
4.320000,32.396371,1.133988,2.000000
4.330000,32.385031,1.133987,2.000000
4.340000,32.373691,1.133986,2.000000
4.350000,32.362351,1.133986,2.000000
4.360000,32.351011,1.133985,2.000000
4.370000,32.339671,1.133984,2.000000
4.380000,32.328332,1.133983,2.000000
4.390000,32.316992,1.133983,2.000000
4.400000,32.305652,1.133982,2.000000
4.410000,32.294312,1.133981,2.000000
4.420000,32.282972,1.133980,2.000000
4.430000,32.271633,1.133980,2.000000
4.440000,32.260293,1.133979,2.000000
4.450000,32.248953,1.133978,2.000000
4.460000,32.237613,1.133977,2.000000
4.470000,32.226273,1.133977,2.000000
4.480000,32.214934,1.133976,2.000000
4.490000,32.203594,1.133975,2.000000
4.500000,32.192254,1.133974,2.000000
4.510000,32.180914,1.133973,2.000000
4.520000,32.169575,1.133973,2.000000
4.530000,32.158235,1.133972,2.000000
4.540000,32.146895,1.133971,2.000000
4.550000,32.135556,1.133970,2.000000
4.560000,32.124216,1.133970,2.000000
4.570000,32.112876,1.133969,2.000000
4.580000,32.101537,1.133968,2.000000
4.590000,32.090197,1.133967,2.000000
4.600000,32.078857,1.133967,2.000000
4.610000,32.067518,1.133966,2.000000
4.620000,32.056178,1.133965,2.000000
4.630000,32.044838,1.133964,2.000000
4.640000,32.033499,1.133964,2.000000
4.650000,32.022159,1.133963,2.000000
4.660000,32.010819,1.133962,2.000000
4.670000,31.999480,1.133961,2.000000
4.680000,31.988140,1.133961,2.000000
4.690000,31.976801,1.133960,2.000000
4.700000,31.965461,1.133959,2.000000
4.710000,31.954121,1.133958,2.000000
4.720000,31.942782,1.133958,2.000000
4.730000,31.931442,1.133957,2.000000
4.740000,31.920103,1.133956,2.000000
4.750000,31.908763,1.133955,2.000000
4.760000,31.897424,1.133955,2.000000
4.770000,31.886084,1.133954,2.000000
4.780000,31.874744,1.133953,2.000000
4.790000,31.863405,1.133952,2.000000
4.800000,31.852065,1.133952,2.000000
4.810000,31.840726,1.133951,2.000000
4.820000,31.829386,1.133950,2.000000
4.830000,31.818047,1.133949,2.000000
4.840000,31.806707,1.133949,2.000000
4.850000,31.795368,1.133948,2.000000
4.860000,31.784028,1.133947,2.000000
4.870000,31.772689,1.133946,2.000000
4.880000,31.761350,1.133946,2.000000
4.890000,31.750010,1.133945,2.000000
4.900000,31.738671,1.133944,2.000000
4.910000,31.727331,1.133943,2.000000
4.920000,31.715992,1.133942,2.000000
4.930000,31.704652,1.133942,2.000000
